Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;Sup. Sembrada;Sup. Cosechada;Producción;Rendimiento
Soja 1ra;2000/01;SANTA FE;GENERAL LOPEZ;82;42;338100;338100;1078500;3190
Soja 1ra;2001/02;SANTA FE;GENERAL LOPEZ;82;42;380000;376500;1300000;3453
Soja 1ra;2002/03;SANTA FE;GENERAL LOPEZ;82;42;459000;447000;1631550;3650
Soja 1ra;2003/04;SANTA FE;GENERAL LOPEZ;82;42;541800;541800;1757104;3243
Soja 1ra;2004/05;SANTA FE;GENERAL LOPEZ;82;42;515173;513052;1959859;3820
Soja 1ra;2005/06;SANTA FE;GENERAL LOPEZ;82;42;525800;518492;1976442;3812
Soja 1ra;2006/07;SANTA FE;GENERAL LOPEZ;82;42;518800;505405;1917029;3793
Soja 1ra;2007/08;SANTA FE;GENERAL LOPEZ;82;42;516150;516150;2092432;4054
Soja 1ra;2008/09;SANTA FE;GENERAL LOPEZ;82;42;647559;647559;1748409;2700
Soja 1ra;2009/10;SANTA FE;GENERAL LOPEZ;82;42;581500;581500;2151550;3700
Soja 1ra;2010/11;SANTA FE;GENERAL LOPEZ;82;42;582000;582000;2095200;3600
Soja 1ra;2011/12;SANTA FE;GENERAL LOPEZ;82;42;583000;583000;1690700;2900
Soja 1ra;2012/13;SANTA FE;GENERAL LOPEZ;82;42;510100;506600;1975740;3900
Soja 1ra;2013/14;SANTA FE;GENERAL LOPEZ;82;42;525000;525000;1522500;2900
Soja 1ra;2014/15;SANTA FE;GENERAL LOPEZ;82;42;452060;452060;1898652;4200
Soja 1ra;2015/16;SANTA FE;GENERAL LOPEZ;82;42;522253;485168;1620461;3340
Soja 1ra;2016/17;SANTA FE;GENERAL LOPEZ;82;42;310920;303920;1154896;3800
Soja 1ra;2017/18;SANTA FE;GENERAL LOPEZ;82;42;447660;447660;1432512;3200
Soja 1ra;2018/19;SANTA FE;GENERAL LOPEZ;82;42;398000;398000;1671600;4200
Soja 1ra;2019/20;SANTA FE;GENERAL LOPEZ;82;42;395000;395000;1580000;4000
Soja 1ra;2020/21;SANTA FE;GENERAL LOPEZ;82;42;382000;382000;1337000;3500
Soja 1ra;2021/22;SANTA FE;GENERAL LOPEZ;82;42;355000;355000;1384500;3900
Soja 1ra;2022/23;SANTA FE;GENERAL LOPEZ;82;42;380000;380000;608000;1600
Soja 1ra;2023/24;SANTA FE;GENERAL LOPEZ;82;42;418397;418397;1589909;3800
